topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,70685113204072609264211173591628960727957646025344673657166140841694405995561,262,201,85742,1513,209928
t4,54314790464484528351019189494574500005352611491666643329288582622864871562176,285,201,103875,3934,156826
t4,66190830202403740881373371278646553366399442775489726423532009670534091090612,268,201,106698,3998,145724
t4,42893872336100077854226356523084248758670527768956965605169617856326833646292,301,201,99500,1337,159927
t4,61858098968903936828754462374352918212360780243759987994682041456266125914999,276,201,99399,7974,158111
t4,74103670934238913329047522253831716670834097021690937659548357827265506815559,223,201,124670,1672,173494
t4,33392944145123666509248030585063157044565700952543281654415922247294007234251,209,201,96682,199,138848
t4,48585435636174895224070979489944846545899954340322683089722230470689750982960,252,201,79769,9396,214161
t4,103421403820173853755267316446061299772268904231826190567067447961688405392196,263,201,100147,1934,162902
t4,22512386153730617670997045693367317745256475928862899396530648160448418653592,305,201,104349,3988,196408
t4,23258323306646672178859627911238057646168751074763160288619449655517698281010,197,201,129678,10992,171781
t4,112223885647093966375818187999113430314824255282874317597634321944491488466688,306,201,91193,5085,191371
t4,13171711037866639651053412401727993976492257256892543787241743201636487830043,183,201,114044,7176,135878
t4,97792476089421176027565263883073223355855569794838135903840939069473978083257,269,201,108436,399,159682
t4,71212612068376281528686779796476360909011706237211006999915736121419592253038,279,201,100563,4926,176231
t4,18367998043183851035138991344694489716283120119353684800778392263528562688062,275,201,101115,5294,148328
t4,64746080836297562518651940842841985987575751182636802803010769928643774227929,201,201,114136,1112,99501
t4,4473320279178703303879289825411025439607481602687139438865338140717224570653,312,201,86434,15388,175398
t4,88592266746109605994920471678329874951603350755407234661237970450727893330224,201,201,125853,20142,163606
t4,57827640861622517703575224845408452950656998216786127752804712918850199746944,275,201,99894,17575,178056
t4,110606900463036147674351083431957009521446149553702284591967323609401549666054,311,201,91204,9990,195078
t4,80094892522964481758103622318044363435808647804553048103124920511565167751410,57,201,48194,28702,159851
t4,53410539241178800613999490107357813720145594224254743232950250054270530601883,313,201,94123,1294,182618
t4,7094722471372947657495125585544229983297274354702611922094461982404539471408,274,201,103548,122,170290
t4,56392840838887750350185741400612593613864458278122534821211861757145950284096,219,201,110459,2184,165354
t4,83270199483585623626852950773956065402126062291529606848928775602367029023948,114,201,80441,799,124638
t4,24665841149326571987001317364923417379731902082018760237376687307445900743044,256,201,110031,15188,137352
t4,13421157599858303277176439975697536864804292797779788219035431300664505960354,273,201,102985,1513,155375
t4,45469188480463414755456037300787460604604335807351697179464452268238066864605,259,201,102856,20495,163924
t4,84304254317697616784514373557170109860423470447915998693712946622362467634086,281,201,113815,3439,122290
