nodeID,topicID,is_evil?,numInConnections,numOutConnections,numEvilOutConnections,numEvilInConnections
506929749827753972367423857383863121775967241700682535819985077458659937079,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,0,0,0,0
531946559719345383003136246909272342660310689792439716824162872012091824422,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,29,16,0,0
578629267562914937969914132685512464945137920249644569846030946869790869563,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,19,16,0,0
588116220422187055915237130220021728774123177735919314788412121142835229505,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,11,16,0,0
610323217267643538936375690642373077755004129822971118650504995259068747509,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,12,16,0,0
623072204238521732624588912209008602672493243339191043286372278530062635815,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,23,16,0,0
634515519466162632003469161009280521841762562478612344643064692381466028884,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,12,16,0,0
665694988582607832114383488468545586701240202712076447391950543624385753058,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,5,13,0,0
667393992399753982131494724468978156150414442074030139180983780720247256869,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,10,16,0,0
681383644581883145178106815545580604271884243328825432627216485840107812480,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,11,16,0,0
692583603538766454651693972894040648880041024518756821643680436994456186482,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,7,16,0,0
709087983974609077512593039031827705632770640403601712044704805084355102572,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,18,16,0,0
718223846932376206190394324516450354051688978993156076960474718807015249114,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
732257388336417767460348049328320995721936466299318969666341328377716715083,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
756785444710371515169706764827766268991901762456887614457166653058193434270,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,14,16,0,0
783451577667964093529601983522185359111082995185248540293448286682739269745,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,1,16,0,0
793059790375240540919659353244214869473126518859633046500339097957042058035,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,11,16,0,0
809490221121011710046046313641650426396688502638243530198150736982942412113,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,9,16,0,0
821865565657556046344625106427906975951865728784186953342650060499973317793,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,33,16,0,0
