nodeID,topicID,is_evil?,numInConnections,numOutConnections,numEvilOutConnections,numEvilInConnections
924687565850831850539569872269377273938269651026475337840596242617868149589,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,24,16,0,0
926989507988789587972886684657821541820735826213534988531398300887047560061,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
951023074809285929300131699776878680938215685697827045618539845334592816301,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,20,16,0,0
951113056631224186268897280939105952071134527570793057548442919935295053621,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,15,16,0,0
974219533623688303202605705831039070060142729343797808813001766298237834965,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,18,16,0,0
987641365533028562806390030957775011461802721469615348299502460423905399101,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,14,16,0,0
1011165471774569586872260361322439793432487077541761094900671444037901187843,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,8,16,0,0
1017252800989323881382042560806761360105527620516144469774367896939488198860,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,8,16,0,0
1047591142425739855259713320902216882171508049312637230954350906997524021253,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,0,16,0,0
1048360621273133722643432951517196721812797159284248507586061593474314842382,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,1,16,0,0
1076109738680614438210419461898432755948882759960481521622197083912836272780,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,21,16,0,0
1136298320528248831674627208741514788590026054054362375838808463066412617493,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,1,16,0,0
1148109339442086565550228456964226480405640204716956731361371694055345695965,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,28,16,0,0
1182465718859438677138686651435848140817284976563133007507419057423329340903,110399480403589887934886466424777087867383869506846657143181403468195004393527,0,29,16,0,0
1183547625840964796934466641141764608673503278648586653722359067022762167492,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
1213624096037253284625504553015853167375833366479891673471160671813455946876,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,30,16,0,0
1213711807598008598604516792132988503077822018723276242072345003157141853635,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,20,16,0,0
1226167440114109852479259759019288089581960125380724989753765580921170150442,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,22,16,0,0
1314267200570021131285438065516854462935777181867855262537618988767778896276,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,33,16,0,0
1321712621180795191866760696212684956205228765482281171115997751016646478258,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,0,16,0,0
1357152255401722308731480157723954104900302890408208153249366415681771979047,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,1,16,0,0
1363599175346780209221951675428497847135735992482188889026672489888351860124,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,33,16,0,0
1392298679381952640867168617795481270829969406593828096432437731446107519879,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,2,16,0,0
1421620983213269904745233457909563164612150295759903647926701576311572169583,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,2,16,0,0
1431754098193031665582186584891187754675685200563487289285129980596146032502,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,17,16,0,0
1439401358545810438170736916969351930606300507705002324711236288177981501740,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,1,16,0,0
1454702366812666478865136215408108252364157888046550397725543826890789002161,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,13,16,0,0
1465142817176992255484682834018620111789536103936570368147545309765786717351,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,28,16,0,0
1477523187662502077721674952170769339816339189104063584674544319074938449281,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,20,16,0,0
1528615329357145671178960681299098993011182227702749837080859499024329613512,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,26,16,0,0
1541620953601927826008252459402933028223757008940259122229374229353714343227,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,28,16,0,0
1544180890302323065255227222298640144034005171419660782136900402843528588142,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
1576956532887636956169100406274151160650338080763320927097138956339452231018,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,6,16,0,0
1580653971727880179939904581316239751868885218261799305377453360526754881041,110399480403589887934886466424777087867383869506846657143181403468195004393527,0,33,16,0,0
1609269265579237991190297585904105944610118132023247336746079772049272997773,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
1611075967893429160099419289753332111813454432391099830623905125601616686542,110399480403589887934886466424777087867383869506846657143181403468195004393527,0,2,16,0,0
1613411786262168362247158503783521546760925413611581357014186516763077649771,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,13,16,0,0
1621062274778743184552926997414696764867983199176692065444952387953764278711,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
1631552343762069163603622089041134414020629040145462661967211436329346486078,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,20,16,0,0
1640458804100562264241842679679605560402349176156683932117362525595902641850,null,0,0,0,0,0
1640680345401260911840115342944560474532662263760023204286677726714204883316,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,20,16,0,0
