topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,19518790594634560910452408164900142445238884223809511815247985172343658781738,76,201,197616,14886,167728
t4,11537688869266438426979637116139757014368084301877681136951815767572985123016,65,201,169292,4599,171667
t4,4254008008228129872541275660377476557176569247847932799955933212413243946508,75,201,187218,16697,146004
t4,9114301955253717929439743433602487699480237551706021618687050640694591512270,94,201,155407,10799,181901
t4,71447102256851349657279830703395012858722603295930483908135746224843174050667,93,201,136380,799,179764
t4,96010894703612544247786742145582311848341601477227081024616332952676947322049,97,201,139262,18642,170493
t4,113278201126393557260205876197096237815808715480918890849208992401643841166444,97,201,139420,9599,163031
t4,98676397008738345706752655008754927217789284945207491707138557877660536501152,103,201,145086,4414,142528
t4,39802196490916181700000016425273459886867570628188736964060520192304931558118,58,201,64291,19199,170860
t4,44083134754631813119142426049217614687691864746273618214402379223542602399265,87,201,179565,3241,190266
t4,37928501622219825612402607394283346454063377222923424121005772568209633541712,72,201,202177,3557,196624
t4,62713290159951261843633131656183205914541001819674628415066378125504567577556,111,201,147539,5514,163659
t4,32308866049480945284187522302609091182347681104465831878424697749529602939497,35,201,128647,799,188319
t4,101161284266943885960845044883182342784387212774288766047885778587795379571691,93,201,164435,11399,139188
t4,60008596810311103748627600462409634843024923407303528979142119453049441263576,70,201,155529,57399,180389
t4,28626636909075757298066179355052550734707560061134660853534683713344927753449,86,201,178256,1999,170177
t4,25501981299047015756168433059010347387024228050078021262021987841164862186047,89,201,159893,54381,180517
t4,81086795736645981026659535163665097440025551185482780013504860260366706628708,111,201,131366,599,155041
t4,67745156353087491165120940579056331479108891766429665039765253040879559675778,119,201,122672,519,172064
t4,43400985897531393516338730712326455471940461132699290441056583353186069839006,85,201,185139,7799,171570
t4,59345285923376544989793216949892017597886560235805764965511106309631326021304,98,201,143031,5401,148602
t4,69243604069328162476248302323823015082356386866442593165036838062575889744529,45,201,72892,199,105611
t4,61806567166340165614280092308197088540493268916320345874231589152686037154976,105,201,141279,8999,175666
t4,30159048111549826655267761211965354020834137709014144935450680755465128458106,98,201,153943,7861,157842
t4,113452477110648020138467380088991499198436267750926460387553261633152646501649,91,201,161784,799,144192
t4,73815456190256153052446835720239001244872162792602745815631776261636242640235,85,201,153240,799,123873
t4,88005886882960377468610544078445141615172557813925403252107265220767530415241,109,201,149173,1002,159435
t4,44466902371420366204280348609691103986955597821992088429419173879476435687118,87,201,169556,4599,183282
t4,77003736609387729955061107958346868137974519220699883146227143221678534524837,119,201,124767,7326,183934
t4,79927243835685832658944297695481307840347966000389056192450835902488114609030,122,201,122120,199,144368
t4,64038408698393584371693990470013764735151180855416361380715341944534934570133,94,201,157042,9199,137751
t4,13576111516209068371775548217799307125137169336785330636979939949751678977010,24,201,23881,799,104631
t4,92348470745770503461030882295855124829574331978615895157128844678803589047750,91,201,164432,22861,155110
t4,9353384023644196038917843084013194826555157665684542167455840188182266411891,93,201,157456,9799,185548
t4,106082735575666239011237070082433587121891467045304316781055353772883529062528,35,201,55368,799,139695
t4,16246863233505195647883466674739157129726968932556076153766126182074550234861,82,201,191545,14976,195540
t4,86709158382766558730794449831939687162590520080747341644683997952967228462607,123,201,119145,1511,150295
t4,26871244980195625491374605159297091048590202219523287573505327781397398101847,93,201,161971,150,166877
t4,93504392871578900492385592765806926297773557857632812374169426944644674874020,94,201,156991,5187,161447
